condition,episode,actual_decisions_at_end,decisions,task_return,delivered_return,raw_score,pairs,end_reason
MAX,55,33000,600,0.0,20.54739220836182,0.0,39,wrapper_decision_limit
MAX,56,33600,600,0.0,21.125041172597896,0.0,39,wrapper_decision_limit
MAX,57,34200,600,0.0,20.251097010387014,0.0,39,wrapper_decision_limit
MAX,58,34800,600,0.0,19.188079788386787,0.0,39,wrapper_decision_limit
MAX,59,35400,600,0.0,20.46080439027842,0.0,39,wrapper_decision_limit
MAX,60,36000,600,1.0,20.44719738493393,1.0,39,wrapper_decision_limit
MAX,61,36600,600,1.0,21.06056174355175,1.0,39,wrapper_decision_limit
MAX,62,37200,600,0.0,18.86821654531845,0.0,39,wrapper_decision_limit
MAX,63,37800,600,1.0,20.095933085174565,1.0,39,wrapper_decision_limit
MAX,64,38400,600,0.0,19.125963907268257,0.0,39,wrapper_decision_limit
MAX,65,39000,600,0.0,19.203360893699884,0.0,39,wrapper_decision_limit
MAX,66,39600,600,1.0,21.28840601090896,1.0,39,wrapper_decision_limit
MAX,67,40200,600,0.0,19.806432886243712,0.0,39,wrapper_decision_limit
MAX,68,40800,600,0.0,20.997218252140843,0.0,39,wrapper_decision_limit
MAX,69,41400,600,0.0,20.160009855702434,0.0,39,wrapper_decision_limit
MAX,70,42000,600,0.0,21.420998903053466,0.0,39,wrapper_decision_limit
MAX,71,42600,600,0.0,19.940837194216726,0.0,39,wrapper_decision_limit
MAX,72,43200,600,0.0,20.438076000113977,0.0,39,wrapper_decision_limit
MAX,73,43800,600,1.0,19.146141438464962,1.0,39,wrapper_decision_limit
MAX,74,44400,600,0.0,21.602626751132878,0.0,39,wrapper_decision_limit
MAX,75,45000,600,0.0,20.16875804883076,0.0,39,wrapper_decision_limit
MAX,76,45600,600,0.0,19.04276352658927,0.0,39,wrapper_decision_limit
MAX,77,46200,600,0.0,20.895048137719083,0.0,39,wrapper_decision_limit
MAX,78,46800,600,0.0,20.9237092698017,0.0,39,wrapper_decision_limit
MAX,79,47400,600,0.0,19.99935175229585,0.0,39,wrapper_decision_limit
MAX,80,48000,600,0.0,19.746818979841912,0.0,39,wrapper_decision_limit
MAX,81,48600,600,1.0,20.646563102634573,1.0,39,wrapper_decision_limit
MAX,82,49200,600,0.0,21.62384469565291,0.0,39,wrapper_decision_limit
MAX,83,49800,600,0.0,23.36331907615831,0.0,39,wrapper_decision_limit
MAX,84,50400,600,0.0,20.942702118565315,0.0,39,wrapper_decision_limit
MAX,85,51000,600,0.0,22.052441427656397,0.0,39,wrapper_decision_limit
MAX,86,51200,200,0.0,6.559483752901524,0.0,12,collection_budget_fragment
